Code,FAA Aircraft Type,EDMS Aircraft Code,Engine Manufacturer,Engine,EDMS ID,SCC,SCC Description,Map To,Last Inventory Year,Last updated on
200960,Airbus A319-100 Series,4539,CFM International,CFM56-5B3/2P,1443,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200961,Airbus A319-100 Series,4539,CFMI,CFM56-5A4,1440,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200962,Airbus A319-100 Series,4539,CFMI,CFM56-5A5,1441,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200963,Airbus A318-100 Series,4538,CFM International,CFM56-5B2/2P,1442,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200964,Airbus A319-100 Series,4539,CFM International,CFM56-5B2/2P,1442,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200965,Airbus A319-100 Series,4539,,V2522-D5 ,1747,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200966,Airbus A318-100 Series,4538,GE,CFM56-5B6/P,1386,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200967,Airbus A319-100 Series,4539,GE,CFM56-5B6/P,1386,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200968,Airbus A318-100 Series,4538,GE,CFM56-5B5/P,1385,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200969,Airbus A319-100 Series,4539,GE,CFM56-5B5/P,1385,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200970,Airbus A318-100 Series,4538,CFM International,CFM56-5B1/2P,1378,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200971,Airbus A319-100 Series,4539,CFM International,CFM56-5B1/2P,1378,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200972,Airbus A318-100 Series,4538,CFM International,CFM56-5B4/2P,1379,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200973,Airbus A319-100 Series,4539,CFM International,CFM56-5B4/2P,1379,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200974,Airbus A318-100 Series,4538,CFM International,CFM56-5B6/2P,1380,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200975,Airbus A319-100 Series,4539,CFM International,CFM56-5B6/2P,1380,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200976,Airbus A319-100 Series,4539,International Aero Engines,V2527-A5,1250,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200977,Airbus A319-100 X/LR,4540,International Aero Engines,V2527-A5,1250,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200978,Airbus A319-100 Series,4539,CFMI,CFM56-5-A1,1213,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200979,Airbus A319-100 Series,4539,CFMI,CFM56-5A3,1214,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200980,Airbus A318-100 Series,4538,CFMI,CFM56-5B2/2,1345,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200981,Airbus A319-100 Series,4539,CFMI,CFM56-5B2/2,1345,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200982,Airbus A318-100 Series,4538,CFMI,CFM56-5B6/2,1347,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200983,Airbus A319-100 Series,4539,CFMI,CFM56-5B6/2,1347,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200984,Airbus A320-200 Series,4542,CFMI,CFM56-5B4/2,1346,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200985,Airbus A320-100 Series,4541,CFMI,CFM56-5B2/2,1345,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200986,Airbus A320-200 Series,4542,CFMI,CFM56-5B2/2,1345,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200987,Airbus A320-100 Series,4541,CFMI,CFM56-5B4,1342,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200988,Airbus A320-200 Series,4542,CFMI,CFM56-5B4,1342,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200989,Airbus A320-200 Series,4542,CFMI,CFM56-5A3,1214,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200990,Airbus A320-100 Series,4541,CFMI,CFM56-5-A1,1213,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200991,Airbus A320-200 Series,4542,CFMI,CFM56-5-A1,1213,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200992,Airbus A320-100 Series,4541,International Aero Engines,V2527-A5,1250,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200993,Airbus A320-100 Series,4541,International Aero Engines,V2500-A1,1248,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200994,Airbus A320-100 Series,4541,CFM International,CFM56-5B6/2P,1380,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200995,Airbus A320-200 Series,4542,CFM International,CFM56-5B6/2P,1380,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200996,Airbus A320-100 Series,4541,CFM International,CFM56-5B4/2P,1379,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
